 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
                0.300 JN97EE     ,Szekesfehervar/Vizivaros, high-rise (FEJ) (t)
       H        0.100 JN96DE     ,Komló / Szilvas, Water tower (BAR) (p)
       V        0.100 JN97BE     ,Varpalota / Tesi-domb (VES) (c)
       V        0.001 JN97PN     ,Kerepes / Szabadsag road (PES) (c)
 97.20 V B396   0.500 JN97QJ     Gong Radió,GyömrQ / ÜllQi str.19. (PES) 
 97.30 V B3CC   1.300 JN97NQ     Maria Radió,Göd (PES) 
       H B203   0.500 KN06MQ     MR 1 Kossuth Radió,Bekescsaba / Almaskertek (BEK) 
       H FFFF   0.100 JN97AM     Kisber Hangja,Kisber (KOE) 
                      JN96PO     ,KiskQrös / PetQfi Sandor sq. 3. (BAK) (p)
 97.40 V        1.000 JN96KS     ,Dunaföldvar (TOL) (c)
